target,subset,n_features,LR_AUC,RF_AUC,delta_LR,delta_RF
survival,full,178,0.5009,0.5877,0.0,0.0
survival,top_5,5,0.49,0.6171,-0.0109,0.0294
survival,top_10,10,0.5051,0.6216,0.0042,0.0339
survival,top_15,15,0.5029,0.6089,0.002,0.0212
survival,top_20,20,0.5391,0.6167,0.0382,0.029
survival,top_30,30,0.5409,0.6057,0.04,0.018
survival,top_50,50,0.5194,0.5998,0.0185,0.0121
escalation,full,178,0.8333,0.9435,0.0,0.0
escalation,top_5,5,0.3899,0.7667,-0.4434,-0.1768
escalation,top_10,10,0.4797,0.8217,-0.3536,-0.1218
escalation,top_15,15,0.4493,0.7464,-0.384,-0.1971
escalation,top_20,20,0.5899,0.8014,-0.2434,-0.1421
escalation,top_30,30,0.6261,0.842,-0.2072,-0.1015
escalation,top_50,50,0.7058,0.8406,-0.1275,-0.1029
rv_dysfunction,full,178,0.9167,0.9295,0.0,0.0
rv_dysfunction,top_5,5,0.517,0.802,-0.3997,-0.1275
rv_dysfunction,top_10,10,0.3988,0.7739,-0.5179,-0.1556
rv_dysfunction,top_15,15,0.5298,0.7642,-0.3869,-0.1653
rv_dysfunction,top_20,20,0.4212,0.7667,-0.4955,-0.1628
rv_dysfunction,top_30,30,0.5057,0.7788,-0.411,-0.1507
rv_dysfunction,top_50,50,0.7759,0.7904,-0.1408,-0.1391
