,RF Gini,Permutation,SHAP,LASSO,Univariate AUC,mean_rank,consensus_score
post_lactate,2.0,47.5,11.0,6.0,25.0,18.3,0.43224605159021035
post_hemoglobin,33.0,47.5,28.0,36.0,8.0,30.5,0.32197091143384104
post_hco3,10.0,129.0,7.0,8.0,3.0,31.4,0.4195788163550433
delta_pcwp,14.0,47.5,19.0,60.0,30.0,34.1,0.3178638713590232
post_ast,1.0,154.0,1.0,14.0,1.0,34.2,0.6595199235549456
delta_lactate,45.0,47.5,54.0,3.0,24.0,34.7,0.33291782589918284
vis_score,7.0,114.0,15.0,21.0,18.0,35.0,0.38909617515303163
age,8.0,148.0,4.0,10.0,6.0,35.2,0.42996534290586863
post_alt,3.0,118.0,5.0,39.0,12.0,35.4,0.39387238264999225
post_hr,26.0,103.0,41.0,5.0,5.0,36.0,0.3634694673710116
ratio_pvr,6.0,47.5,9.0,86.0,32.0,36.1,0.3402623037741961
post_egfr,5.0,137.0,6.0,28.0,14.0,38.0,0.39498040328142775
ratio_pcwp,44.0,47.5,40.0,43.0,16.0,38.1,0.2809461823104556
pre_hco3,17.0,133.0,26.0,7.0,10.0,38.6,0.37618747401508595
ratio_ra,22.0,123.0,31.0,20.0,4.0,40.0,0.3430845327088837
pre_alt,38.0,47.5,45.0,23.0,57.0,42.1,0.2849542582603789
pre_pvr,28.0,47.5,30.0,92.0,15.0,42.5,0.28379114309587383
delta_hr,32.0,99.5,44.0,15.0,27.0,43.5,0.3143920293526226
post_map,13.0,156.0,3.0,13.0,37.0,44.4,0.3897816967468305
delta_tdco,12.0,146.5,2.0,61.0,2.0,44.7,0.3673460914131577
pre_lvedd,19.0,157.0,20.0,11.0,17.0,44.8,0.36183964891924536
post_pcwp,15.0,131.5,10.0,64.0,11.0,46.3,0.3340337153055668
ratio_hr,37.0,99.5,67.0,4.0,26.0,46.7,0.3228756734774649
post_sbp,30.0,47.5,35.0,78.0,50.0,48.1,0.25971066374881563
pre_ast,29.0,47.5,33.0,83.0,51.0,48.7,0.256301643782462
pre_hemoglobin,4.0,149.0,16.0,33.0,42.0,48.8,0.35709745781322316
post_pa_o2,39.0,47.5,39.0,81.0,40.0,49.3,0.24964307363120009
delta_alt,9.0,135.5,18.0,30.0,64.0,51.3,0.3338536009130376
post_tdco,34.0,109.0,32.0,52.0,31.0,51.6,0.27435921779082345
post_pvr,25.0,116.0,17.0,49.0,52.0,51.8,0.2891772107861038
delta_pvr,23.0,160.0,27.0,55.0,19.0,56.8,0.28589125603463317
pre_pa_o2,88.0,47.5,80.0,25.0,44.0,56.9,0.2497285623428244
pre_papi,56.0,98.0,66.0,37.0,41.0,59.6,0.24977957882565743
pre_ra,49.0,107.5,49.0,56.0,46.0,61.5,0.2379346100771028
ratio_tdco,27.0,150.0,24.0,90.0,21.0,62.4,0.273857652786364
cause_of_shock,66.0,47.5,71.0,70.0,59.0,62.7,0.2120080371938669
esp,82.0,118.0,65.0,16.0,33.0,62.8,0.26382178290493324
delta_ra,16.0,123.0,23.0,147.5,7.0,63.3,0.28985047067862946
scai_stage,97.0,47.5,81.0,41.0,54.0,64.1,0.22103035962215242
inotrope_count,36.0,166.0,8.0,17.0,96.0,64.6,0.29621695785174224
race,68.0,123.0,50.0,1.0,91.0,66.6,0.37573176153524823
pre_rvsp,67.0,151.5,58.0,40.0,20.0,67.3,0.24429648584816582
pre_wbc,72.0,110.0,77.0,18.0,61.0,67.6,0.24660058648399347
delta_ast,11.0,143.0,21.0,115.0,53.0,68.6,0.27134570167852273
pre_egfr,52.0,118.0,53.0,65.0,55.0,68.6,0.22108765659990617
delta_wbc,92.0,47.5,98.0,44.0,83.0,72.9,0.20480206864434186
recovery_score,24.0,161.5,14.0,147.5,23.0,74.0,0.26915332867176806
delta_cpo,40.0,161.5,22.0,121.0,28.0,74.5,0.23441206224287808
delta_sodium,78.0,47.5,86.0,114.0,48.0,74.7,0.18990690297183305
ratio_rv_cpo,48.0,130.0,46.0,147.5,13.0,76.9,0.229193584911213
delta_lvedd,93.0,47.5,95.0,107.0,45.0,77.5,0.1879608773232456
post_tr_severity,106.0,155.0,56.0,51.0,22.0,78.0,0.2237398503816165
post_papi,100.0,47.5,89.0,74.0,81.0,78.3,0.18783984848973895
delta_creatinine,121.0,47.5,106.0,62.0,63.0,79.9,0.19164303047176606
pre_padp,57.0,134.0,57.0,116.0,36.0,80.0,0.20525667839993883
delta_rv_cpo,43.0,164.5,37.0,147.5,9.0,80.2,0.22783962445042535
post_pasp,65.0,126.0,62.0,111.0,38.0,80.4,0.1987398500308049
delta_egfr,90.0,104.0,117.0,34.0,65.0,82.0,0.21269731279186904
ratio_cpo,54.0,131.5,43.0,147.5,35.0,82.2,0.21169147766372096
post_potassium,69.0,121.0,87.0,12.0,123.0,82.4,0.22938507436050606
weight_kg,20.0,164.5,12.0,147.5,70.0,82.8,0.25166593913785457
ratio_papi,53.0,126.0,60.0,35.0,146.0,84.0,0.19988144997718907
esv,86.0,96.5,82.0,22.0,138.0,84.9,0.20935539604379755
pre_tdco,21.0,115.0,61.0,57.0,171.0,85.0,0.17131322828577905
ratio_padp,64.0,47.5,64.0,147.5,102.0,85.0,0.17204020773905543
pre_rvdp,111.0,47.5,104.0,71.0,92.5,85.2,0.17851213291453266
edv,122.0,47.5,125.0,9.0,125.0,85.7,0.22152605675272655
pre_map,50.0,163.0,52.0,19.0,147.0,86.2,0.21002026714589084
delta_hemoglobin,80.0,47.5,92.0,69.0,142.5,86.2,0.16107006168920815
post_padp,102.0,47.5,101.0,147.5,34.0,86.4,0.18691372433429437
pre_lactate,96.0,47.5,119.0,42.0,129.0,86.7,0.17887355703028532
vasopressin,160.5,47.5,159.5,2.0,66.0,87.1,0.26270776370581517
pre_sv,31.0,120.0,38.0,91.0,156.0,87.2,0.18168721663311144
delta_echo_pasp,134.0,47.5,137.0,59.0,60.0,87.5,0.18188777990422259
delta_potassium,74.0,47.5,118.0,100.0,100.0,87.9,0.16312778705916714
ratio_sbp,47.0,47.5,63.0,147.5,135.0,88.0,0.16896755183711334
pre_creatinine,81.0,112.5,69.0,72.0,107.0,88.3,0.17293517182945325
impella_performance,127.0,47.5,107.0,27.0,133.0,88.3,0.19326840071309567
post_cpo,18.0,167.0,13.0,89.0,155.0,88.4,0.21591348032787336
pre_pasp,62.0,158.0,47.0,147.5,29.0,88.7,0.20293204132151965
dp_dt_max,99.0,47.5,93.0,147.5,58.0,89.0,0.1746778299051055
edp,70.0,96.5,91.0,147.5,43.0,89.6,0.18961834775597014
post_creatinine,60.0,112.5,48.0,108.0,121.0,89.9,0.17063610854701455
pre_tr_severity,118.0,47.5,130.0,95.0,62.0,90.5,0.16945740763287223
pmax,115.0,138.5,75.0,88.0,39.0,91.1,0.1852835114660887
post_rv_cpo,41.0,168.5,25.0,147.5,75.0,91.4,0.20327980440134005
ratio_tapse,91.0,47.5,105.0,67.0,149.0,91.9,0.1496424202480155
ratio_dbp,71.0,47.5,99.0,112.0,132.0,92.3,0.1519644942117599
pre_echo_pasp,114.0,47.5,135.0,47.0,119.0,92.5,0.1690191737873968
pre_rvedd,94.0,106.0,72.0,109.0,82.0,92.6,0.16960972135775287
gender,117.0,47.5,112.0,38.0,151.0,93.1,0.1629992812231355
dp_dt_min,109.0,47.5,113.0,113.0,84.0,93.3,0.16097885108716276
post_lvedd,132.0,47.5,134.0,24.0,131.0,93.7,0.18732992899133674
post_dbp,89.0,47.5,121.0,53.0,163.0,94.7,0.1396691204573223
ea,98.0,111.0,94.0,118.0,56.0,95.4,0.16731038018326627
delta_pasp,75.0,140.5,85.0,54.0,125.0,95.9,0.17117883048058205
pre_bili,79.0,102.0,78.0,147.5,74.0,96.1,0.1719870589258896
pre_potassium,133.0,47.5,131.0,26.0,144.0,96.3,0.17868560842517733
impella_flow,104.0,47.5,79.0,99.0,152.0,96.3,0.13495913033272702
ratio_sp_o2,128.0,47.5,114.0,50.0,142.5,96.4,0.1555355960179912
delta_tr_severity,140.0,47.5,136.0,29.0,130.0,96.5,0.18345511651802393
ratio_echo_pasp,147.0,47.5,147.0,75.0,67.0,96.7,0.1649249927183119
dopamine,160.5,47.5,159.5,31.0,88.0,97.3,0.19150976894529897
pre_rv_cpo,35.0,159.0,34.0,96.0,164.0,97.6,0.15688731570381215
pre_sbp,58.0,107.5,83.0,80.0,160.0,97.7,0.14180327621070288
post_sp_o2,129.0,47.5,120.0,76.0,116.0,97.7,0.1543837855821449
delta_sbp,55.0,47.5,103.0,147.5,136.0,97.8,0.15409130332724452
ratio_sv,51.0,47.5,76.0,147.5,169.0,98.2,0.12796462556183646
ratio_lvedd,124.0,47.5,126.0,147.5,47.0,98.4,0.1676887932777397
ees,76.0,146.5,73.0,147.5,49.0,98.4,0.1761042897643204
delta_dbp,119.0,47.5,116.0,82.0,128.0,98.5,0.14856757292830441
pre_dbp,87.0,47.5,109.0,147.5,103.0,98.8,0.1526035452215594
post_wbc,42.0,153.0,29.0,147.5,125.0,99.3,0.1875363387968038
ratio_pasp,110.0,47.5,122.0,120.0,99.0,99.7,0.14714089457595583
post_bili,116.0,47.5,102.0,147.5,87.0,100.0,0.15790637798088566
delta_hco3,105.0,47.5,100.0,147.5,101.0,100.2,0.15196806905970714
ratio_pa_o2,136.0,47.5,127.0,48.0,145.0,100.7,0.15049057720998352
post_augmentation,160.5,47.5,159.5,32.0,104.0,100.7,0.1784532854000985
delta_map,46.0,168.5,36.0,97.0,158.0,101.1,0.14564464185159479
delta_pa_o2,120.0,47.5,111.0,123.0,105.0,101.3,0.14442881626458942
pre_sp_o2,135.0,47.5,140.0,68.0,117.0,101.5,0.15064956033555282
pre_cpo,61.0,170.5,42.0,85.0,150.0,101.7,0.14150608204121146
pre_augmentation,160.5,47.5,159.5,46.0,95.0,101.7,0.16959865058731993
norepinephrine,130.0,47.5,129.0,110.0,92.5,101.8,0.15070981119875207
ees_ea,107.0,101.0,110.0,77.0,118.0,102.6,0.15578822492226302
renal_failure,160.5,47.5,159.5,63.0,89.0,103.9,0.16154629779757546
delta_sp_o2,141.0,47.5,133.0,58.0,140.0,103.9,0.14276392021219428
pre_tapse,131.0,47.5,138.0,66.0,137.0,103.9,0.14353500074860562
post_ph,101.0,47.5,97.0,147.5,127.0,104.0,0.14245220352375182
pre_pcwp,83.0,135.5,70.0,117.0,122.0,105.5,0.14300077277809867
post_rvedd,148.0,47.5,159.5,79.0,97.0,106.2,0.14752443503433002
pv_sv,137.0,47.5,128.0,147.5,72.0,106.4,0.15158562291960267
days_between_rhc_and_impella,95.0,151.5,55.0,147.5,90.0,107.8,0.16021493043033494
epinephrine,160.5,47.5,159.5,87.0,86.0,108.1,0.14932451351310747
post_rv_s,160.5,47.5,159.5,84.0,94.0,109.1,0.14666087358222854
post_sodium,84.0,95.0,115.0,147.5,108.0,109.9,0.14952343292042597
ratio_tr_severity,146.0,47.5,143.0,147.5,69.0,110.6,0.14604187770281013
delta_padp,123.0,128.0,123.0,45.0,139.0,111.6,0.14898585324363484
delta_bili,125.0,47.5,132.0,147.5,106.0,111.6,0.13831177278942064
post_echo_pasp,160.5,47.5,159.5,73.0,120.0,112.1,0.13994308506957667
milrinone,145.0,47.5,144.0,147.5,85.0,113.8,0.13982807404241726
post_tapse,139.0,47.5,142.0,147.5,98.0,114.8,0.1347343288658407
delta_papi,103.0,126.0,84.0,147.5,115.0,115.1,0.1409785083232314
height_cm,126.0,140.5,96.0,147.5,68.0,115.6,0.15161839575208869
delta_tapse,143.0,47.5,141.0,94.0,154.0,115.9,0.10965241160991486
ratio_rvsp,160.5,47.5,159.5,101.0,111.5,116.0,0.13054556049408791
ratio_rvdp,160.5,47.5,159.5,102.0,111.5,116.2,0.13054556049408733
delta_rvdp,160.5,47.5,159.5,104.5,111.5,116.7,0.13054556049407387
post_rvsp,160.5,47.5,159.5,104.5,111.5,116.7,0.13054556049407387
delta_rvsp,160.5,47.5,159.5,104.5,111.5,116.7,0.13054556049407387
post_sv,73.0,142.0,59.0,147.5,162.0,116.7,0.11928709017933303
post_rvdp,160.5,47.5,159.5,104.5,111.5,116.7,0.13054556049407387
post_ra,63.0,138.5,68.0,147.5,167.0,116.8,0.11553337242303519
delta_sv,113.0,47.5,108.0,147.5,168.0,116.8,0.10303451557132529
ratio_rvedd,160.5,47.5,159.5,147.5,72.0,117.4,0.14300911854103343
delta_rvedd,160.5,47.5,159.5,147.5,72.0,117.4,0.14300911854103343
post_furosemide,144.0,47.5,146.0,98.0,153.0,117.7,0.10727569219556506
ratio_map,112.0,47.5,124.0,147.5,159.0,118.0,0.11011428656401671
dobutamine,77.0,145.0,88.0,119.0,161.0,118.0,0.10961266988017657
pre_hr,85.0,144.0,74.0,122.0,165.0,118.0,0.10606035722008042
post_rv_fs,160.5,47.5,159.5,147.5,78.0,118.6,0.14042553191489363
delta_rv_s,160.5,47.5,159.5,147.5,78.0,118.6,0.14042553191489363
pre_rv_fs,160.5,47.5,159.5,147.5,78.0,118.6,0.14042553191489363
vis_high,160.5,47.5,159.5,147.5,78.0,118.6,0.14042553191489363
ratio_rv_s,160.5,47.5,159.5,147.5,78.0,118.6,0.14042553191489363
pre_furosemide,149.0,47.5,159.5,93.0,148.0,119.4,0.11276339513291338
bmi,59.0,170.5,51.0,147.5,170.0,119.6,0.10332335734195046
delta_ph,142.0,47.5,145.0,147.5,134.0,123.2,0.11780409874591695
pre_sodium,108.0,105.0,90.0,147.5,166.0,123.3,0.10296347480629671
pre_ph,138.0,47.5,139.0,147.5,157.0,125.8,0.10170203648668683
pre_rv_s,160.5,47.5,159.5,147.5,141.0,131.2,0.10790273556231003
